PermitNum,AppliedDate,PermitType,PermitTypeMapped,PermitClass,PermitClassGroup,PermitClassMapped,WorkClass,Description
BP2006-18553,2006/10/31,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2007-05713,2007/04/27,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2007-10458,2007/07/09,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2007-04974,2007/04/17,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2006-19488,2006/11/21,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2007-03364,2007/03/20,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2007-01310,2007/02/02,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2007-03402,2007/03/20,Demolition,Demolition,2301 - Aircraft Hangar,Industrial,Non-Residential,Demolition,
BP2007-11160,2007/07/19,Demolition,Demolition,1506 - Apt Apartment,Apartment,Residential,Demolition,
BP2006-20596,2006/12/18,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2006-18580,2006/10/31,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2007-07137,2007/05/17,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2007-13126,2007/08/22,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2007-02286,2007/02/27,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2007-03351,2007/03/19,Demolition,Demolition,3303 - Gas Bar,Commercial,Non-Residential,Demolition,
BP2006-19965,2006/12/01,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2007-03641,2007/03/23,Demolition,Demolition,4002 - Vacant,General,Non-Residential,Demolition,
BP2007-08002,2007/05/31,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2007-03130,2007/03/15,Demolition,Demolition,1506 - Apt Apartment,Apartment,Residential,Demolition,
BP2007-10417,2007/07/06,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2007-11811,2007/07/31,Demolition,Demolition,9999 - Unspecified,Unspecified,Unspecified,Demolition,
BP2007-06093,2007/05/02,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
